Bola1;Bola2;Bola3;Bola4;Bola5
22;26;34;39;40
1;21;33;39;48
3;4;7;14;39
18;21;23;54;74
10;25;33;43;68
32;34;52;68;73
42;56;61;76;79
2;7;9;27;59
5;6;12;50;61
3;10;35;47;59
17;23;52;70;71
7;12;36;39;50
6;7;9;36;45
53;57;62;70;78
24;25;34;50;65
1;3;18;46;64
15;20;23;78;79
9;16;20;34;53
42;54;55;70;74
1;20;40;42;75
3;7;10;23;43
2;3;45;49;60
4;6;35;64;65
27;32;54;57;80
1;9;51;59;74
13;16;18;21;36
4;27;44;61;71
21;22;40;51;74
14;35;53;64;77
16;25;27;33;74
14;22;24;59;72
15;23;25;29;71
6;18;42;56;72
12;36;38;50;53
2;28;51;53;77
1;21;46;56;79
3;16;32;37;50
8;22;48;59;76
18;35;37;50;54
3;33;44;77;78
11;29;42;63;72
12;33;51;60;80
11;46;49;60;71
20;40;59;68;80
17;50;69;73;76
17;31;51;60;74
3;25;30;32;62
10;31;37;61;74
7;10;32;54;59
41;58;61;66;80
6;11;43;46;58
6;28;32;51;80
12;14;26;27;75
9;30;38;56;76
1;12;49;55;76
16;26;36;41;78
27;44;45;56;71
2;12;14;16;29
1;17;47;68;71
4;19;48;76;80
5;16;34;40;73
11;29;36;38;67
1;7;28;48;73
7;15;45;53;66
4;17;19;51;62
1;2;4;6;28
36;50;55;58;75
18;29;35;63;68
15;17;18;25;44
26;32;45;62;77
17;36;67;69;77
25;38;57;69;78
19;30;35;48;76
20;43;47;62;74
11;17;26;48;56
17;37;53;71;76
1;6;38;65;70
31;34;36;58;62
21;23;37;69;73
27;38;48;58;75
11;12;17;57;74
9;27;38;48;57
56;59;65;70;71
1;7;9;39;80
38;57;66;72;77
1;14;42;44;56
4;8;52;59;67
5;19;43;77;80
3;35;40;61;77
16;29;44;57;70
4;5;14;28;40
3;26;63;74;76
7;8;17;47;55
9;12;52;65;78
1;20;44;66;77
24;40;52;57;62
2;12;20;47;55
15;26;51;58;65
47;52;53;71;78
11;25;40;48;73
34;39;47;75;76
21;23;37;50;55
38;44;46;72;80
24;41;52;56;76
37;44;54;62;64
17;39;48;56;75
5;6;22;28;31
1;21;28;44;48
